Date,PD FASA R ,PD FASA S ,PD FASA T
01/01/2021 02:52:00,1.7,1.7,1.3
01/01/2021 08:54:00,1.7,1.6,1.2
01/01/2021 14:55:00,2,1.6,1.2
01/01/2021 20:57:00,2,1.7,1.2
01/02/2021 02:59:00,1.7,1.7,1.2
01/02/2021 09:01:00,1.7,1.6,1.3
01/02/2021 15:03:00,2,1.5,1.2
01/02/2021 21:05:00,1.8,1.6,1.2
01/03/2021 03:07:00,2,1.6,1.2
01/03/2021 09:09:00,2,1.6,1.2
01/03/2021 15:10:00,2,1.6,1.1
01/03/2021 21:12:00,2,1.7,1.2
01/04/2021 03:14:00,1.8,1.7,1.2
01/04/2021 09:16:00,1.7,1.6,1.2
01/04/2021 15:17:00,1.6,1.6,1.2
01/04/2021 21:19:00,1.8,1.6,1.3
01/05/2021 03:22:00,2,1.7,1.2
01/05/2021 09:24:00,1.6,1.7,1.2
01/05/2021 15:24:00,1.8,1.6,1.2
01/05/2021 21:26:00,1.8,1.7,1.2
01/06/2021 03:28:00,1.8,1.7,1.2
01/06/2021 09:30:00,1.8,1.6,1.2
01/06/2021 15:32:00,1.8,1.6,1.2
01/06/2021 21:34:00,1.9,1.6,1.2
01/07/2021 03:36:00,1.8,1.6,1.3
01/07/2021 09:38:00,1.7,1.6,1.1
01/07/2021 15:39:00,2,1.6,1.2
01/07/2021 21:41:00,1.8,1.6,1.3
01/08/2021 03:43:00,2,1.6,1.3
01/08/2021 09:45:00,1.9,1.7,1.2
01/08/2021 15:46:00,1.8,1.6,1.2
01/08/2021 21:48:00,2,1.6,1.3
01/09/2021 03:50:00,1.9,1.7,1.3
01/09/2021 09:52:00,1.6,1.6,1.2
01/09/2021 15:53:00,2,1.6,1.2
01/09/2021 21:55:00,1.8,1.7,1.3
01/10/2021 03:58:00,1.9,1.7,1.3
01/10/2021 10:00:00,1.7,1.7,1.2
01/10/2021 16:01:00,1.8,1.7,1.2
01/10/2021 22:03:00,1.8,1.7,1.3
01/11/2021 04:05:00,2,1.7,1.3
01/11/2021 10:07:00,1.6,1.7,1.3
01/11/2021 16:08:00,1.8,1.7,1.2
01/11/2021 22:10:00,1.9,1.6,2.2
01/12/2021 04:13:00,2,1.7,1.2
01/12/2021 10:15:00,1.7,1.6,1.2
01/12/2021 16:15:00,1.8,1.7,2.2
01/12/2021 22:18:00,2,1.6,1.3
13/01/2021 04:20:00,1.8,1.7,1.3
13/01/2021 10:22:00,1.9,1.7,1.2
13/01/2021 16:22:00,1.9,1.6,1.2
13/01/2021 22:25:00,2,1.7,1.3
14/01/2021 04:27:00,1.8,1.7,1.3
14/01/2021 10:29:00,1.6,1.6,1.2
14/01/2021 16:30:00,1.9,1.7,1.2
14/01/2021 22:32:00,2,1.7,1.2
15/01/2021 04:35:00,2,1.7,1.3
15/01/2021 10:37:00,2,1.6,1.2
15/01/2021 16:37:00,1.7,1.6,1.2
15/01/2021 22:39:00,1.7,1.7,1.3
16/01/2021 04:41:00,1.9,1.7,1.2
16/01/2021 10:43:00,1.7,1.6,1.2
16/01/2021 16:44:00,1.7,1.6,1.2
16/01/2021 22:47:00,1.8,1.7,1.3
17/01/2021 04:49:00,1.8,1.7,1.3
17/01/2021 10:51:00,1.6,1.6,1.2
17/01/2021 16:52:00,2,1.7,2.2
17/01/2021 22:54:00,1.8,1.7,1.3
18/01/2021 04:57:00,1.8,1.6,1.3
18/01/2021 10:59:00,1.8,1.7,1.2
18/01/2021 16:59:00,1.8,1.6,1.2
18/01/2021 23:01:00,1.8,1.6,1.2
19/01/2021 05:04:00,1.9,1.6,1.2
19/01/2021 11:06:00,2,1.6,1.3
19/01/2021 17:07:00,1.8,1.7,1.3
19/01/2021 23:09:00,1.8,1.7,1.3
20/01/2021 05:11:00,1.7,1.7,1.3
20/01/2021 11:13:00,1.6,1.6,1.3
20/01/2021 17:14:00,1.9,1.6,1.2
20/01/2021 23:16:00,2,1.6,1.3
21/01/2021 05:18:00,2,1.7,1.3
21/01/2021 11:20:00,1.9,1.7,1.2
21/01/2021 17:21:00,2,1.7,1.2
21/01/2021 23:23:00,1.8,1.7,1.3
22/01/2021 05:25:00,1.7,1.7,1.3
22/01/2021 11:27:00,1.9,1.6,1.2
22/01/2021 17:28:00,1.7,1.6,1.3
22/01/2021 23:30:00,2,1.7,1.3
23/01/2021 05:33:00,2,1.7,1.2
23/01/2021 11:35:00,1.9,1.6,1.3
23/01/2021 17:35:00,1.7,1.7,1.2
23/01/2021 23:38:00,2,1.6,1.3
24/01/2021 05:40:00,1.7,1.7,1.3
24/01/2021 11:42:00,1.6,1.6,1.2
24/01/2021 17:42:00,1.6,1.6,1.3
24/01/2021 23:44:00,1.7,1.7,1.3
25/01/2021 05:46:00,1.7,1.6,1.3
25/01/2021 11:48:00,1.9,1.6,1.3
25/01/2021 17:50:00,2,1.7,1.2
25/01/2021 23:52:00,1.7,1.7,1.2
26/01/2021 05:54:00,1.9,1.7,1.3
26/01/2021 11:56:00,1.8,1.6,1.2
26/01/2021 17:57:00,1.7,1.6,1.3
26/01/2021 23:59:00,1.7,1.6,1.3
27/01/2021 06:01:00,1.9,1.6,1.3
27/01/2021 12:03:00,1.7,1.6,1.2
27/01/2021 18:04:00,1.9,1.7,1.3
28/01/2021 00:06:00,1.6,1.7,1.2
28/01/2021 06:08:00,1.7,1.6,1.3
28/01/2021 12:10:00,1.7,1.6,1.3
28/01/2021 18:12:00,1.6,1.6,1.2
29/01/2021 00:14:00,1.7,1.6,1.2
29/01/2021 06:16:00,1.8,1.6,1.2
29/01/2021 12:18:00,1.1,1.6,1.3
29/01/2021 18:19:00,2,1.7,1.3
30/01/2021 00:21:00,1.7,1.6,1.3
30/01/2021 06:22:00,1.7,1.6,1.3
30/01/2021 12:24:00,1.6,1.6,1.3
30/01/2021 18:25:00,1.9,1.6,1.3
31/01/2021 00:27:00,1.7,1.7,1.3
31/01/2021 06:29:00,1.8,1.7,1.3
31/01/2021 12:30:00,1.6,1.6,1.3
31/01/2021 18:32:00,1.3,1.7,1.3
02/01/2021 00:34:00,1.6,1.7,1.3
02/01/2021 06:36:00,2.8,1.7,1.3
02/01/2021 12:38:00,1.6,1.7,1.3
02/01/2021 18:39:00,1.3,1.7,1.3
02/02/2021 00:41:00,1.4,1.7,1.2
02/02/2021 06:43:00,1.8,1.7,1.3
02/02/2021 12:45:00,1.2,1.7,1.3
02/02/2021 18:46:00,4.1,1.7,1.3
02/03/2021 00:49:00,4.6,1.7,1.3
02/03/2021 06:50:00,2,1.6,1.3
02/03/2021 12:53:00,4.5,1.6,1.3
02/03/2021 18:53:00,4.1,1.6,1.3
02/04/2021 00:55:00,3.2,1.6,1.3
02/04/2021 06:57:00,4.2,1.6,1.3
02/04/2021 12:59:00,2.4,1.7,1.3
02/04/2021 18:59:00,4.6,1.7,1.3
02/05/2021 01:02:00,3.5,1.6,1.3
02/05/2021 07:04:00,4.6,1.7,1.3
02/05/2021 13:06:00,3.4,1.6,1.3
02/05/2021 19:06:00,4.2,1.7,1.3
14/02/2021 20:11:00,1,1.7,0
15/02/2021 02:13:00,1.4,1.6,1.3
15/02/2021 08:15:00,1.4,1.5,1.3
15/02/2021 14:17:00,1,1.4,1.3
15/02/2021 20:18:00,1,1.6,1.3
16/02/2021 02:20:00,1,1.6,1.3
16/02/2021 08:22:00,0.8,1.6,1.3
16/02/2021 14:24:00,0.8,1.5,1.3
16/02/2021 20:24:00,1.2,1.6,1.3
17/02/2021 02:26:00,1.1,1.6,1.3
17/02/2021 08:29:00,1.8,1.5,1.3
17/02/2021 14:30:00,1.1,1.5,1.3
17/02/2021 20:32:00,1.1,1.5,1.3
18/02/2021 02:34:00,1.4,1.6,1.4
18/02/2021 08:36:00,1.1,1.6,1.3
18/02/2021 14:38:00,3.8,1.6,1.3
18/02/2021 20:39:00,4.2,1.6,1.3
19/02/2021 02:41:00,1.9,1.6,1.3
19/02/2021 08:44:00,3.6,1.6,1.3
19/02/2021 14:46:00,3.7,1.6,1.3
19/02/2021 20:46:00,1.7,1.6,1.3
20/02/2021 02:48:00,1.1,1.7,1.3
20/02/2021 08:50:00,2.3,1.7,1.3
20/02/2021 14:52:00,1.9,1.6,1.3
20/02/2021 20:54:00,1.8,1.6,1.3
21/02/2021 02:56:00,4,1.6,1.3
21/02/2021 08:58:00,2.6,1.7,1.3
21/02/2021 15:00:00,2,1.5,1.3
21/02/2021 21:01:00,1.7,1.6,1.3
22/02/2021 03:03:00,1.1,1.6,1.3
22/02/2021 09:05:00,1.1,1.6,1.3
22/02/2021 15:07:00,1.1,1.6,1.3
22/02/2021 21:08:00,1.1,1.6,1.3
23/02/2021 03:11:00,1.2,1.6,1.3
23/02/2021 09:13:00,1.4,1.6,1.4
23/02/2021 15:14:00,1,1.6,1.3
23/02/2021 21:16:00,1.1,1.6,1.3
24/02/2021 03:18:00,1.8,1.6,1.3
24/02/2021 09:20:00,1.1,1.6,1.3
24/02/2021 15:22:00,2,1.6,1.3
24/02/2021 21:23:00,1.8,1.6,1.3
25/02/2021 03:25:00,1.6,1.6,1.3
25/02/2021 09:27:00,1.5,1.6,1.3
25/02/2021 15:29:00,1.7,1.6,1.3
25/02/2021 21:30:00,1.8,1.6,1.3
26/02/2021 03:32:00,1.1,1.6,1.3
26/02/2021 09:34:00,1.7,1.6,1.3
26/02/2021 15:36:00,1.5,1.6,1.3
26/02/2021 21:36:00,1.9,1.6,1.3
27/02/2021 03:38:00,1.8,1.6,1.3
27/02/2021 09:40:00,1.4,1.6,1.3
27/02/2021 15:42:00,1.1,1.6,1.3
27/02/2021 21:43:00,1.2,1.6,1.3
28/02/2021 03:45:00,1.2,1.6,1.3
28/02/2021 09:47:00,1.5,1.6,1.3
28/02/2021 15:49:00,1.4,1.6,1.3
28/02/2021 21:50:00,1.7,1.6,1.3
03/01/2021 03:52:00,1.5,1.6,1.3
03/01/2021 09:54:00,1.4,1.6,1.3
03/01/2021 15:56:00,1.5,1.5,1.3
03/01/2021 21:57:00,1.8,1.6,1.3
03/02/2021 03:59:00,1.7,1.7,1.3
03/02/2021 10:02:00,1.4,1.6,1.3
03/02/2021 16:03:00,1.5,1.6,1.3
03/02/2021 22:04:00,1.8,1.6,1.2
03/03/2021 04:06:00,1.1,1.6,1.3
03/03/2021 10:08:00,1,1.6,1.2
03/03/2021 16:10:00,0.9,1.6,1.3
03/03/2021 22:11:00,1.9,1.7,1.3
03/04/2021 04:13:00,1.6,1.7,1.3
03/04/2021 10:15:00,1.7,1.6,1.3
03/04/2021 16:17:00,1.8,1.7,1.3
03/04/2021 22:18:00,1.9,1.7,1.3
03/05/2021 04:20:00,1.9,1.6,1.3
03/05/2021 10:22:00,1.9,1.6,1.3
03/05/2021 16:24:00,1.7,1.6,1.3
03/05/2021 22:25:00,2,1.6,1.3
03/06/2021 04:28:00,1.9,1.6,1.3
03/06/2021 10:30:00,1.9,1.6,1.3
03/06/2021 16:32:00,1.9,1.6,1.3
03/06/2021 22:32:00,1.8,1.6,1.3
03/07/2021 04:34:00,1.6,1.6,1.3
03/07/2021 10:36:00,1.8,1.6,1.3
03/07/2021 16:39:00,1.9,1.6,1.3
03/07/2021 22:39:00,1.4,1.6,1.3
03/08/2021 04:41:00,1.6,1.7,1.3
03/08/2021 10:43:00,1.6,1.7,1.4
03/08/2021 16:45:00,1.5,1.6,1.3
03/08/2021 22:47:00,1.9,1.6,1.3
03/09/2021 04:49:00,1.1,1.6,1.3
03/09/2021 10:51:00,1.6,1.3,1.3
03/09/2021 16:53:00,1.8,1.6,1.3
03/09/2021 22:54:00,1.9,1.6,1.3
03/10/2021 04:56:00,1.6,1.6,1.3
03/10/2021 10:58:00,1.8,1.6,1.3
03/10/2021 17:00:00,1.7,1.7,1.3
03/10/2021 23:01:00,1.7,1.7,1.3
03/11/2021 05:03:00,1.8,1.6,1.3
03/11/2021 11:05:00,1.8,1.6,1.3
03/11/2021 17:07:00,1.8,1.6,1.3
03/11/2021 23:08:00,2,1.6,1.3
03/12/2021 05:10:00,3.9,1.7,1.3
05/04/2021 04:05:00,0.8,0.8,0.6
05/04/2021 09:48:00,0.7,1.1,0.7
05/04/2021 15:50:00,1.3,1.2,0.9
05/04/2021 21:52:00,1.4,1.1,1
05/05/2021 03:54:00,1.4,1.5,0.9
05/05/2021 09:54:00,1.5,1.2,1.1
05/05/2021 15:56:00,1.8,1.2,1.1
05/05/2021 21:58:00,1.5,1.1,1
05/06/2021 04:00:00,1.5,1.3,1
05/06/2021 10:00:00,1.4,1.3,1.1
13/05/2021 23:03:00,0.7,1.2,1.1
